,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hithadhoo,MV,82.0,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Tangwani,PK,81.21,clear sky,28.2787,68.9972,Malik Hafeez Markeet
7,Inhambane,MZ,82.38,scattered clouds,-23.865,35.3833,Oceano
14,Banda Aceh,ID,79.63,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
18,Ecoporanga,BR,80.35,overcast clouds,-18.3733,-40.8306,Hotel Bar e Restaurante do Dico
20,Mantua,IT,75.34,few clouds,45.1667,10.7833,Hotel la Favorita
28,Georgetown,MY,84.15,light rain,5.4112,100.3354,Cititel Penang
29,Labuhan,ID,79.68,light rain,-6.8844,112.2051,DoubleFAG
38,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
40,Teupasenti,HN,76.32,broken clouds,14.2167,-86.7,Barrio el progreso
41,Cape Town,ZA,75.61,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
47,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
50,Atuona,PF,75.92,clear sky,-9.8,-139.0333,Villa Enata
54,Graulhet,FR,78.35,overcast clouds,43.7669,1.9894,Hôtel Restaurant du Lac à Graulhet
57,Lhokseumawe,ID,79.93,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
60,Hilo,US,81.28,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Robertsport,LR,79.93,light rain,6.7533,-11.3686,Kwepunha Retreat
65,Bosaso,SO,82.2,clear sky,11.2842,49.1816,Red Sea Hotel
66,Butaritari,KI,80.6,light rain,3.0707,172.7902,Isles Sunset Lodge
67,Caravelas,BR,79.83,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
68,La Orilla,MX,80.55,light rain,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
69,Faanui,PF,78.4,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Bengkulu,ID,76.26,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
75,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
81,Madimba,TZ,76.33,scattered clouds,-10.4,40.3333,
83,Jardim,BR,86.72,light rain,-21.4803,-56.1381,Estancia Hotel - Jardim MS
87,Razole,IN,76.41,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
89,Qui Nhon,VN,75.76,overcast clouds,13.7667,109.2333,Seagull Hotel
94,Hamirpur,IN,79.16,clear sky,25.95,80.15,Rajeev Kumar pal
100,Sinnamary,GF,86.74,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
105,Nishihara,JP,76.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
112,Itoman,JP,77.02,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
115,Dungarpur,IN,76.1,clear sky,23.8333,73.7167,Gayatri Hotel
116,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
117,Tanete,ID,76.14,light rain,-3.9443,119.7848,Wisma Tri Multi
119,Grand-Lahou,CI,81.36,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
120,Coahuayana,MX,82.71,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
122,Cabiraoan,PH,78.26,light rain,18.3238,122.086,Bry and Kat Resort
123,Dzilam Gonzalez,MX,85.17,scattered clouds,21.2833,-88.9333,posadas
124,Mazatlan,MX,81.01,few clouds,23.2167,-106.4167,Hotel La Siesta
134,Inirida,CO,87.78,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
140,Kathu,TH,83.75,moderate rain,7.9178,98.3332,Novotel Phuket Resort
142,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
143,Karratha,AU,79.95,clear sky,-20.7377,116.8463,ibis Styles Karratha
146,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
147,Sampang,ID,81.7,overcast clouds,-7.1872,113.2394,sekretariat IKA STAIN
150,Surt,LY,75.42,scattered clouds,31.2089,16.5887,فندق المدينة
153,Bandarbeyla,SO,78.64,clear sky,9.4942,50.8122,JABIR HOTEL
154,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
156,Tuy Hoa,VN,75.43,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
158,Kavieng,PG,82.06,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
161,Masvingo,ZW,85.3,few clouds,-20.0637,30.8277,River Side Lodge
166,Belmonte,BR,79.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
169,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
170,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
174,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
176,San Patricio,US,75.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
177,Ponta Do Sol,PT,79.72,clear sky,32.6667,-17.1,Hotel do Campo
178,Malakal,SS,77.38,light rain,9.5334,31.6605,Nile Palace Hotel
179,Brokopondo,SR,83.59,overcast clouds,4.75,-55.1667,Matu Island
180,Bubaque,GW,81.07,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
191,Kimbe,PG,75.65,light rain,-5.5502,150.1429,Kimbe Bay Hotel
193,Sabang,ID,81.28,light rain,5.8933,95.3214,Hotel Citra
200,Houma,US,75.99,mist,29.5958,-90.7195,Courtyard by Marriott Houma
201,Soubre,CI,86.13,light rain,5.7856,-6.6083,Lynd Hotels Soubre
202,Sendhwa,IN,76.73,few clouds,21.6833,75.1,Hotel Shagun Garden
203,Golfito,CR,80.02,light rain,8.639,-83.166,Banana Bay Marina
206,Puerto Leguizamo,CO,88.0,scattered clouds,-0.1934,-74.7819,la casona de juancho
215,Mabaruma,GY,89.58,broken clouds,8.2,-59.7833,Monty Brooms Guest House
216,Touros,BR,84.43,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
217,Tall Kayf,TR,84.54,broken clouds,37.0833,41.0667,
220,Dhidhdhoo,MV,77.95,overcast clouds,6.8833,73.1,Dhidhoo beach
227,Dingle,PH,77.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
228,Wajid,SO,84.13,overcast clouds,3.8093,43.2471,xamdihotelresturant114
234,Vung Tau,VN,80.55,light rain,10.346,107.0843,Seaside Resort
235,Lagunas,PE,88.81,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
237,Sur,OM,81.07,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
239,Olpad,IN,85.98,few clouds,21.3333,72.75,IDTCATERING
245,Oranjestad,AW,87.91,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
246,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
248,Poum,NC,75.29,scattered clouds,-20.2333,164.0167,
258,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
259,Lorengau,PG,80.71,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
260,Salinopolis,BR,84.92,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
261,Kang,BW,81.59,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
270,Lodja,CD,86.38,scattered clouds,-3.4833,23.4333,
271,Tual,ID,83.5,broken clouds,-5.6667,132.75,Grand Vilia Hotel
274,Santa Luzia,BR,84.34,clear sky,-19.7697,-43.8514,Pousada Chao Earth
278,Champerico,GT,79.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
281,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
286,Sillanwali,PK,80.82,clear sky,31.8261,72.5398,Channanpura
289,Waingapu,ID,81.1,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
291,Lae,PG,77.32,overcast clouds,-6.7221,146.9847,Phils Hotel
292,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
298,Aitape,PG,77.74,overcast clouds,-3.1374,142.3475,
300,Osmena,PH,82.0,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
302,Samarai,PG,80.46,few clouds,-10.6167,150.6667,Nuli Sapi
305,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
306,Fethiye,TR,76.87,overcast clouds,36.6217,29.1164,Club & Hotel Letoonia
313,Ipixuna,BR,84.7,broken clouds,-1.7625,-48.8043,Chalé do Mato
317,Bull Savanna,JM,82.2,clear sky,17.8868,-77.5902,Big Red's
328,Magsaysay,PH,76.32,moderate rain,6.7667,125.1833,Ridragon Aqua Farm Resort
331,Soyo,AO,81.18,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
332,Namatanai,PG,79.81,light rain,-3.6667,152.4333,Seagulls Inn Namatani
340,Acarau,BR,89.08,overcast clouds,-2.8856,-40.12,castelo pizzaria
341,Kavaratti,IN,81.03,overcast clouds,10.5669,72.642,Green leaf
343,Tabatinga,BR,82.49,clear sky,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
346,Jalu,LY,78.91,clear sky,29.0331,21.5482,صاحبة الفخامة
347,Bijapur,IN,78.13,overcast clouds,16.8333,75.7,Rajdhani Lodge
350,Chateaubelair,VC,79.32,broken clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
355,Quelimane,MZ,87.75,few clouds,-17.8786,36.8883,Hotel Flamingo
356,Boundiali,CI,87.48,scattered clouds,9.5217,-6.4869,Hotel Paysan Boundiali
358,Jablah,SY,77.13,broken clouds,35.3614,35.9256,ملهى ليلي
360,Mana,GF,86.49,scattered clouds,5.6592,-53.7767,LE SAMANA
365,Itarema,BR,88.77,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
367,Paka,MY,76.93,light rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
368,Buala,SB,80.73,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
372,Bodden Town,KY,86.99,few clouds,19.2833,-81.25,Will T Place
376,Kaputa,ZM,83.23,scattered clouds,-8.4689,29.6619,Chelelwa Charlets
377,Monrovia,LR,85.77,light rain,6.3005,-10.7969,Sunset Inn
384,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
385,Havelock,US,75.94,broken clouds,34.8791,-76.9013,Sherwood Motel
387,Seidu,SL,82.44,scattered clouds,9.0167,-10.6,
388,El Carmen,CO,75.92,light rain,8.5106,-73.4478,Hotel La Casona
389,Kanniyakumari,IN,78.69,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
392,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
394,Chishtian Mandi,PK,82.26,clear sky,29.8,72.8667,Faculty House
396,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
398,Yurimaguas,PE,82.56,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
402,Sola,VU,80.73,scattered clouds,-13.8833,167.55,Leumerus Bungalows
404,Salalah,OM,87.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
406,Newala,TZ,76.64,broken clouds,-10.9431,39.2787,Mnyeu Newala
410,Natal,BR,86.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
414,Minab,IR,88.12,clear sky,27.1467,57.0801,Bam campground
415,Camacupa,AO,76.19,light rain,-12.0167,17.4833,
418,Waw,SS,76.66,broken clouds,7.7029,27.9953,Universal Gab Hotel
426,Gamboma,CG,85.77,overcast clouds,-1.8764,15.8644,Residence N'Keni
427,Hirara,JP,76.77,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
433,Los Chiles,CR,79.18,overcast clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
434,Tomatlan,MX,80.2,overcast clouds,19.9333,-105.25,El Salvial
438,Sarangani,PH,83.91,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
441,Parakou,BJ,88.59,few clouds,9.3372,2.6303,Benin Metropole Hotel
443,Lazaro Cardenas,MX,81.07,light rain,17.9583,-102.2,HOTEL QUINTA ANTIGUA
452,Dakar,SN,89.73,scattered clouds,14.6937,-17.4441,Novotel Dakar
454,Kyaikto,MM,77.92,few clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
457,Cotonou,BJ,85.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
459,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
460,Pathein,MM,75.29,clear sky,16.7833,94.7333,Pathein Hotel
461,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
464,Gaziantep,TR,78.73,broken clouds,37.0594,37.3825,Novotel Gaziantep
466,Bentiu,SS,77.68,moderate rain,9.2333,29.8333,Mandela hôtel
467,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
473,Kisangani,CD,80.91,scattered clouds,0.5167,25.2,Grand Ramela Hotel
474,Sawakin,SD,87.49,clear sky,19.1059,37.3321,فندق الدويم
475,Magdalena,PH,76.23,light rain,14.1999,121.429,Samparada & Gestiada Residences
478,Namibe,AO,79.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
481,Conakry,GN,84.27,broken clouds,9.538,-13.6773,Riviera Royal Hotel
483,Saltpond,GH,81.95,broken clouds,5.2091,-1.0606,Mfantseman Beach Resort
484,Morondava,MG,78.46,clear sky,-20.2833,44.2833,La Case Bambou
486,Pedasi,PA,83.07,moderate rain,7.5333,-80.0333,Hotel Casa de Campo Pedasí
489,Bandar-E Lengeh,IR,87.91,haze,26.5579,54.8807,کافی نت پارس
491,Maxixe,MZ,82.22,scattered clouds,-23.8597,35.3472,Oceano
493,Sao Filipe,CV,79.43,broken clouds,14.8961,-24.4956,Hotel Xaguate
494,Mangrol,IN,82.67,few clouds,21.1167,70.1167,Hotel The Royal Honours
495,Aketi,CD,80.56,overcast clouds,2.7388,23.7833,
496,Catuday,PH,79.66,few clouds,16.2923,119.8062,Benjie's Kubo & Cottages
499,Meulaboh,ID,78.15,broken clouds,4.1363,96.1285,Kost Pria
504,Puerto Cabezas,NI,78.76,scattered clouds,14.0351,-83.3888,Cabaña Caribe
505,Herzberg,DE,79.32,broken clouds,51.6869,13.2202,Gästehaus Alter Fritz - Ferienwohnungen in Herzberg (Elster) - Übernachtung Schlafen Pension Hotel
510,Umm Lajj,SA,84.07,broken clouds,25.0213,37.2685,Moon light Furnished Units
517,San Policarpo,PH,79.41,overcast clouds,12.1791,125.5072,Agapita M. Nicart
521,Zwedru,LR,89.1,scattered clouds,6.0667,-8.1281,Elijah Worjloh
524,Boca Do Acre,BR,83.8,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
525,Abomey,BJ,87.28,broken clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
530,Lere,NG,86.45,clear sky,10.387,8.5726,
542,Ipilan,PH,79.34,overcast clouds,8.8431,117.9033,Brookes Inn
543,Karaton,ID,75.02,heavy intensity rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
545,Nouadhibou,MR,89.58,overcast clouds,20.931,-17.0347,El Medina
546,Jatiroto,ID,75.29,overcast clouds,-7.8833,111.1167,Intan Saraswati
547,Balikpapan,ID,77.99,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
551,Port Blair,IN,77.04,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
557,Bambanglipuro,ID,77.54,overcast clouds,-7.95,110.2833,Puri Brata
562,Urambo,TZ,85.05,overcast clouds,-5.0667,32.05,Fair Lodge
564,Bantigue,PH,79.02,moderate rain,10.9899,124.6225,GV Hotel Ormoc
565,Norsup,VU,78.46,few clouds,-16.0667,167.3833,Nabelchel Bungalows
566,Mitzic,GA,76.24,light rain,0.7821,11.549,Motel Emys
567,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
571,Sohna,IN,80.83,clear sky,28.25,77.0667,Fly India Adventure Resort
572,Gizo,SB,82.42,scattered clouds,-8.103,156.8419,Imagination Island
575,Trenggalek,ID,75.36,light rain,-8.05,111.7167,OYO 2966 Hotel Atriaz
577,Syracuse,IT,76.59,clear sky,37.0881,15.2792,Hotel Posta
578,Nabire,ID,76.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
579,Mapastepec,MX,82.6,light rain,15.4333,-92.9,Hotel San Carlos
580,Manyana,BW,77.94,overcast clouds,-23.4,21.7167,
583,Marsh Harbour,BS,80.01,clear sky,26.5412,-77.0636,Abaco Beach Resort
585,Benguela,AO,78.85,broken clouds,-12.5763,13.4055,Hotel Praia Morena
586,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
590,Acajutla,SV,78.22,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
593,Le Vauclin,MQ,89.65,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
598,Roebourne,AU,79.61,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
603,Vanimo,PG,77.72,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
605,Jaguarari,BR,86.54,clear sky,-10.2639,-40.1958,Hotel Quintal De Casa
611,Awbari,LY,81.59,clear sky,26.5921,12.7805,استراحة الشارب العائلي
616,Pitimbu,BR,86.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
618,Mancio Lima,BR,78.87,broken clouds,-7.6142,-72.8958,Motel Asas Do Desejo
619,Nalut,LY,81.54,scattered clouds,30.3333,10.85,
621,Kieta,PG,77.88,light rain,-6.2167,155.6333,Uruna Bay Retreat
626,Lingao,CN,78.4,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
627,Gaillac,FR,78.57,overcast clouds,43.9016,1.8969,Le Relais de Joseph - Chambres d'hôtes et Gite
630,Sibolga,ID,76.89,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
638,Puerto Narino,CO,87.84,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
642,Mubi,NG,89.71,few clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
643,Matara,LK,77.29,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
649,Forio,IT,75.49,clear sky,40.7342,13.8646,Hotel Terme Providence
650,Puerto Ayacucho,VE,84.9,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
653,Calderitas,MX,84.04,few clouds,18.55,-88.25,Hotel Hacienda Campestre
654,Gigmoto,PH,80.51,overcast clouds,13.7796,124.39,Cj's Travellers Inn
655,Thinadhoo,MV,82.11,scattered clouds,0.5333,72.9333,
660,Eydhafushi,MV,81.64,light rain,5.1033,73.0708,Soneva Fushi
667,Kollam,IN,76.3,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
670,Xuddur,SO,81.19,light rain,4.1213,43.8894,Banjanay Hotel
681,Ailigandi,PA,83.07,light rain,9.2333,-78.0167,Akwa Reef Lodge
683,Kroya,ID,77.27,overcast clouds,-7.6331,109.2461,Wisma Legoq Kost
684,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
685,Tsiroanomandidy,MG,82.0,scattered clouds,-18.7667,46.0333,Hotel Ravinala
686,Gwadar,PK,80.82,clear sky,25.1216,62.3254,Sadaf Resort
687,Khuzdar,PK,76.77,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
688,Rodrigues Alves,BR,79.0,overcast clouds,-7.738,-72.6509,Pousada Aconchego
689,Misratah,LY,75.63,broken clouds,32.3754,15.0925,Almasa Hotel
690,Lahij,YE,80.37,scattered clouds,13.1667,44.5833,
691,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
692,Faya,SA,75.31,scattered clouds,18.3851,42.4509,شيلة نسايم
