,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Airai,TL,-8.9266,125.4092,63.12,93,100,0.25,overcast clouds
1,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,72.43,67,100,4.25,overcast clouds
2,Carnarvon,AU,-24.8667,113.6333,65.91,68,0,26.33,clear sky
3,Hithadhoo,MV,-0.6,73.0833,82.0,70,97,9.98,overcast clouds
4,Balkanabat,TM,39.5108,54.3671,73.74,40,26,4.5,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,55.06,30,0,1.14,clear sky
6,Tangwani,PK,28.2787,68.9972,81.21,19,0,5.06,clear sky
7,Inhambane,MZ,-23.865,35.3833,82.38,57,40,11.5,scattered clouds
8,Saint-Philippe,RE,-21.3585,55.7679,74.79,83,54,9.98,broken clouds
9,Ribeira Grande,PT,38.5167,-28.7,63.0,59,20,27.63,few clouds
10,Verkhnevilyuysk,RU,63.4453,120.3167,22.8,97,98,1.16,overcast clouds
11,Pisco,PE,-13.7,-76.2167,62.65,77,20,6.91,haze
12,Severo-Kurilsk,RU,50.6789,156.125,50.34,94,90,20.54,light rain
13,Rikitea,PF,-23.1203,-134.9692,68.29,70,87,19.93,overcast clouds
14,Banda Aceh,ID,5.5577,95.3222,79.63,77,100,12.75,overcast clouds
15,Albany,US,42.6001,-73.9662,49.73,92,100,1.99,overcast clouds
16,Nanortalik,GL,60.1432,-45.2371,37.31,71,100,8.72,overcast clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,69.76,84,99,10.0,overcast clouds
18,Ecoporanga,BR,-18.3733,-40.8306,80.35,52,99,2.42,overcast clouds
19,Ilulissat,GL,69.2167,-51.1,35.62,87,100,2.3,light rain
20,Mantua,IT,45.1667,10.7833,75.34,66,16,1.99,few clouds
21,Vaini,TO,-21.2,-175.2,73.56,100,20,4.61,few clouds
22,Isangel,VU,-19.55,169.2667,73.22,91,92,6.33,overcast clouds
23,Hasaki,JP,35.7333,140.8333,68.4,89,100,12.12,light rain
24,Barrow,US,71.2906,-156.7887,28.42,86,100,14.97,overcast clouds
25,Port Lincoln,AU,-34.7333,135.8667,60.71,77,100,5.41,overcast clouds
26,Mahebourg,MU,-20.4081,57.7,73.69,68,20,6.91,few clouds
27,Punta Arenas,CL,-53.15,-70.9167,53.71,47,0,18.41,clear sky
28,Georgetown,MY,5.4112,100.3354,84.15,78,20,3.44,light rain
29,Labuhan,ID,-6.8844,112.2051,79.68,80,100,10.71,light rain
30,Dikson,RU,73.5069,80.5464,31.6,88,54,11.36,broken clouds
31,Pevek,RU,69.7008,170.3133,3.25,97,77,5.1,broken clouds
32,Krasnoselkup,RU,65.7,82.4667,34.81,98,100,6.85,overcast clouds
33,Torbay,CA,47.6666,-52.7314,58.39,96,100,19.57,moderate rain
34,Roma,US,43.2128,-75.4557,56.66,78,100,3.44,overcast clouds
35,Wageningen,NL,51.9667,5.6667,63.34,95,75,9.22,broken clouds
36,Bluff,NZ,-46.6,168.3333,45.23,89,100,17.34,light rain
37,Pangnirtung,CA,66.1451,-65.7125,44.6,70,75,4.61,broken clouds
