City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,73.18,81,20,15.97,PF,2022-10-15 15:51:20
1,Kapaa,22.0752,-159.319,71.1,79,20,6.91,US,2022-10-15 15:51:21
2,Saint-Philippe,-21.3585,55.7679,71.19,79,35,11.03,RE,2022-10-15 15:51:22
3,Kalanchak,46.2562,33.2907,50.59,54,62,9.28,UA,2022-10-15 15:51:22
4,Pisco,-13.7,-76.2167,64.45,72,0,6.91,PE,2022-10-15 15:51:23
5,Albany,42.6001,-73.9662,62.94,67,56,4.0,US,2022-10-15 15:50:10
6,Skibbereen,51.55,-9.2667,53.01,79,74,28.61,IE,2022-10-15 15:51:24
7,Busselton,-33.65,115.3333,48.99,84,93,8.43,AU,2022-10-15 15:51:24
8,Ippy,6.2679,21.2247,75.81,87,97,1.16,CF,2022-10-15 15:51:25
9,Kodiak,57.79,-152.4072,51.31,87,100,13.8,US,2022-10-15 15:50:27
10,Nyurba,63.2842,118.3319,25.97,90,96,6.6,RU,2022-10-15 15:51:25
11,Longyearbyen,78.2186,15.6401,19.24,73,0,11.5,SJ,2022-10-15 15:51:26
12,Mareeba,-17.0,145.4333,70.52,88,17,3.24,AU,2022-10-15 15:51:26
13,Barrow,71.2906,-156.7887,10.42,92,0,12.66,US,2022-10-15 15:51:26
14,Ribeira Grande,38.5167,-28.7,69.78,73,40,12.66,PT,2022-10-15 15:51:27
15,Kailua,21.4022,-157.7394,75.18,90,67,9.31,US,2022-10-15 15:51:27
16,Lebu,-37.6167,-73.65,57.0,66,94,18.63,CL,2022-10-15 15:48:03
17,Port Alfred,-33.5906,26.891,62.19,91,100,5.01,ZA,2022-10-15 15:51:27
18,Jamestown,42.097,-79.2353,55.06,43,40,21.85,US,2022-10-15 15:47:23
19,Cururupu,-1.8283,-44.8683,88.09,56,92,8.7,BR,2022-10-15 15:51:28
20,Kupang,-10.1667,123.5833,81.0,78,44,11.14,ID,2022-10-15 15:51:28
21,Port Elizabeth,-33.918,25.5701,64.69,68,100,14.97,ZA,2022-10-15 15:51:29
22,Avarua,-21.2078,-159.775,73.45,83,100,3.44,CK,2022-10-15 15:51:29
23,Alofi,-19.0595,-169.9187,73.29,100,8,3.44,NU,2022-10-15 15:51:30
24,Bay City,43.5945,-83.8889,46.72,64,20,21.85,US,2022-10-15 15:51:30
25,Ushuaia,-54.8,-68.3,49.62,49,20,24.16,AR,2022-10-15 15:49:50
26,Vestmanna,62.1564,-7.1664,41.92,75,20,16.11,FO,2022-10-15 15:51:30
27,Pangkalanbuun,-2.6833,111.6167,75.15,96,100,0.76,ID,2022-10-15 15:51:31
28,Talnakh,69.4865,88.3972,33.21,99,100,8.19,RU,2022-10-15 15:51:31
29,Saskylakh,71.9167,114.0833,30.45,92,90,13.38,RU,2022-10-15 15:51:31
30,New Norfolk,-42.7826,147.0587,47.7,93,4,2.53,AU,2022-10-15 15:51:32
31,Umm Kaddadah,13.6017,26.6876,92.66,17,19,9.89,SD,2022-10-15 15:51:32
32,Carnarvon,-24.8667,113.6333,65.77,73,0,16.37,AU,2022-10-15 15:51:33
33,Mar Del Plata,-38.0023,-57.5575,59.95,76,75,15.01,AR,2022-10-15 15:47:52
34,Qaanaaq,77.484,-69.3632,29.71,68,100,24.83,GL,2022-10-15 15:51:33
35,Saldanha,-33.0117,17.9442,69.85,79,100,14.63,ZA,2022-10-15 15:51:34
36,Ekibastuz,51.6667,75.3667,54.57,42,100,9.66,KZ,2022-10-15 15:51:34
37,Cravo Norte,6.3017,-70.2041,86.74,63,75,8.61,CO,2022-10-15 15:51:34
38,Neiafu,-18.65,-173.9833,77.68,94,40,6.91,TO,2022-10-15 15:51:35
39,Sinazongwe,-17.2614,27.4618,85.95,32,55,6.62,ZM,2022-10-15 15:51:35
40,Puerto Ayora,-0.7393,-90.3518,71.56,89,80,7.0,EC,2022-10-15 15:51:35
41,Punta Arenas,-53.15,-70.9167,48.31,49,0,21.85,CL,2022-10-15 15:51:36
42,Hasaki,35.7333,140.8333,61.29,72,86,11.5,JP,2022-10-15 15:51:36
43,Sompeta,18.9333,84.6,78.78,86,9,3.69,IN,2022-10-15 15:51:37
44,Katsuura,35.1333,140.3,69.37,82,7,10.22,JP,2022-10-15 15:51:37
45,Nhulunbuy,-12.2333,136.7667,77.61,94,100,5.75,AU,2022-10-15 15:51:37
46,Butaritari,3.0707,172.7902,80.87,74,64,19.66,KI,2022-10-15 15:51:38
47,Kaitangata,-46.2817,169.8464,47.3,87,100,3.87,NZ,2022-10-15 15:51:38
48,Atar,20.5169,-13.0499,98.65,16,32,6.91,MR,2022-10-15 15:52:39
49,Hermanus,-34.4187,19.2345,60.8,85,100,21.92,ZA,2022-10-15 15:52:39
50,Hilo,19.7297,-155.09,80.28,96,100,9.22,US,2022-10-15 15:52:40
51,Nome,64.5011,-165.4064,29.1,54,0,24.16,US,2022-10-15 15:52:40
52,Yellowknife,62.456,-114.3525,28.92,59,75,9.22,CA,2022-10-15 15:52:40
53,Faanui,-16.4833,-151.75,78.49,76,16,12.88,PF,2022-10-15 15:52:41
54,Catia La Mar,10.6038,-67.0303,91.99,64,12,8.48,VE,2022-10-15 15:52:41
55,Fairbanks,64.8378,-147.7164,28.92,75,20,6.91,US,2022-10-15 15:51:47
56,West Memphis,35.1465,-90.1845,66.29,88,100,3.44,US,2022-10-15 15:52:42
57,Chitral,35.8462,71.7858,65.7,30,0,2.57,PK,2022-10-15 15:52:42
58,Sauda,59.6506,6.3542,51.67,83,100,7.27,NO,2022-10-15 15:52:43
59,Mataura,-46.1927,168.8643,47.41,86,99,1.01,NZ,2022-10-15 15:52:43
60,Sitka,57.0531,-135.33,58.89,82,100,19.57,US,2022-10-15 15:52:43
61,Tamiahua,21.2667,-97.45,82.31,73,9,4.14,MX,2022-10-15 15:52:44
62,Saint-Augustin,51.226,-58.6502,57.45,61,100,4.74,CA,2022-10-15 15:52:44
63,San Ramon,37.7799,-121.978,58.59,88,100,5.75,US,2022-10-15 15:49:00
64,Ponta Do Sol,32.6667,-17.1,75.13,71,57,2.42,PT,2022-10-15 15:52:45
65,Qaqortoq,60.7167,-46.0333,40.37,73,6,6.96,GL,2022-10-15 15:52:45
66,Hobart,-42.8794,147.3294,48.06,78,100,5.75,AU,2022-10-15 15:52:45
67,Tiksi,71.6872,128.8694,21.07,84,100,22.75,RU,2022-10-15 15:52:46
68,Sola,-13.8833,167.55,79.47,78,100,6.91,VU,2022-10-15 15:52:47
69,Rawson,-43.3002,-65.1023,71.06,25,98,10.31,AR,2022-10-15 15:52:47
70,Sisimiut,66.9395,-53.6735,29.39,62,24,13.0,GL,2022-10-15 15:52:47
71,Novska,45.3406,16.9769,59.7,65,61,3.51,HR,2022-10-15 15:52:48
72,Provideniya,64.3833,-173.3,25.93,81,62,11.7,RU,2022-10-15 15:52:49
73,East London,-33.0153,27.9116,63.54,94,100,10.36,ZA,2022-10-15 15:52:49
74,Mahebourg,-20.4081,57.7,71.89,68,40,8.05,MU,2022-10-15 15:52:49
75,Yar-Sale,66.8333,70.8333,38.37,82,99,4.14,RU,2022-10-15 15:52:50
76,Bluff,-46.6,168.3333,51.89,86,99,7.18,NZ,2022-10-15 15:52:50
77,Port Augusta,-32.5,137.7667,57.92,65,100,8.95,AU,2022-10-15 15:52:51
78,Vaini,-21.2,-175.2,64.56,100,20,0.0,TO,2022-10-15 15:52:46
79,Castro,-24.7911,-50.0119,59.95,94,100,10.33,BR,2022-10-15 15:52:42
80,Esperance,-33.8667,121.9,55.17,87,41,11.03,AU,2022-10-15 15:52:51
81,Souillac,-20.5167,57.5167,71.98,68,40,8.05,MU,2022-10-15 15:52:52
